step	acc
49	0.07322966307401657
99	0.083451047539711
149	0.10018636286258698
199	0.10954216122627258
249	0.11840615421533585
299	0.13324253261089325
349	0.1532435417175293
399	0.1542574167251587
449	0.14077284932136536
499	0.16643983125686646
549	0.1456577330827713
599	0.16020622849464417
649	0.18002575635910034
699	0.17011576890945435
749	0.17418336868286133
799	0.19712065160274506
849	0.19170691072940826
899	0.18017520010471344
949	0.2129613608121872
999	0.20950250327587128
1049	0.21070781350135803
1099	0.20944911241531372
1149	0.24053260684013367
1199	0.22267059981822968
1249	0.230355903506279
1261	0.22935765981674194
